--2016-05-25 00:16:26--  http://10.30.50.93:8000/
Connecting to 10.30.50.93:8000... connected.
HTTP request sent, awaiting response... 200 OK
Length: 13193358 (13M) [text/html]
Saving to: ‘index.html.7’

  5150K .......... .......... .......... .......... .......... 40%  110K 69s
  5200K .......... .......... .......... .......... .......... 40%  119K 69s
  5250K .......... .......... .......... .......... .......... 41%  107K 68s
  5300K .......... .......... .......... .......... .......... 41%  107K 68s
  5350K .......... .......... .......... .......... .......... 41% 99.1K 68s
  5400K .......... .......... .......... .......... .......... 42%  123K 67s
  5450K .......... .......... .......... .......... .......... 42%  104K 67s
  5500K .......... .......... .......... .......... .......... 43%  119K 66s
  5550K .......... .......... .......... .......... .......... 43% 97.0K 66s
  5600K .......... .......... .......... .......... .......... 43%  134K 65s
  5650K .......... .......... .......... .......... .......... 44% 88.7K 65s
  5700K .......... .......... .......... .......... .......... 44%  119K 64s
  5750K .......... .......... .......... .......... .......... 45%  116K 64s
  5800K .......... .......... .......... .......... .......... 45%  104K 64s
  5850K .......... .......... .......... .......... .......... 45%  116K 63s
  5900K .......... .......... .......... .......... .......... 46% 94.8K 63s
  5950K .......... .......... .......... .......... .......... 46%  122K 62s
  6000K .......... .......... .......... .......... .......... 46%  110K 62s
  6050K .......... .......... .......... .......... .......... 47%  130K 61s
  6100K .......... .......... .......... .......... .......... 47% 94.7K 61s
  6150K .......... .......... .......... .......... .......... 48%  113K 60s
  6200K .......... .......... .......... .......... .......... 48%  134K 60s
  6250K .......... .......... .......... .......... .......... 48%  110K 59s
  6300K .......... .......... .......... .......... .......... 49%  113K 59s
  6350K .......... .......... .......... .......... .......... 49%  102K 59s
  6400K .......... .......... .......... .......... .......... 50%  122K 58s
  6450K .......... .......... .......... .......... .......... 50%  119K 58s
  6500K .......... .......... .......... .......... .......... 50% 96.9K 57s
  6550K .......... .......... .......... .......... .......... 51%  116K 57s
  6600K .......... .......... .......... .......... .......... 51%  122K 56s
  6650K .......... .......... .......... .......... .......... 52%  113K 56s
  6700K .......... .......... .......... .......... .......... 52%  116K 55s
  6750K .......... .......... .......... .......... .......... 52%  107K 55s
  6800K .......... .......... .......... .......... .......... 53%  113K 54s
  6850K .......... .......... .......... .......... .......... 53%  113K 54s
  6900K .......... .......... .......... .......... .......... 53%  107K 54s
  6950K .......... .......... .......... .......... .......... 54%  116K 53s
  7000K .......... .......... .......... .......... .......... 54%  119K 53s
  7050K .......... .......... .......... .......... .......... 55%  102K 52s
  7100K .......... .......... .......... .......... .......... 55%  126K 52s
  7150K .......... .......... .......... .......... .......... 55%  119K 51s
  7200K .......... .......... .......... .......... .......... 56% 96.8K 51s
  7250K .......... .......... .......... .......... .......... 56%  104K 50s
  7300K .......... .......... .......... .......... .......... 57%  123K 50s
  7350K .......... .......... .......... .......... .......... 57%  116K 49s
  7400K .......... .......... .......... .......... .......... 57%  110K 49s
  7450K .......... .......... .......... .......... .......... 58%  107K 49s
  7500K .......... .......... .......... .......... .......... 58%  107K 48s
  7550K .......... .......... .......... .......... .......... 58%  116K 48s
  7600K .......... .......... .......... .......... .......... 59%  110K 47s
  7650K .......... .......... .......... .......... .......... 59%  102K 47s
  7700K .......... .......... .......... .......... .......... 60%  119K 46s
  7750K .......... .......... .......... .......... .......... 60%  102K 46s
  7800K .......... .......... .......... .......... .......... 60%  116K 45s
  7850K .......... .......... .......... .......... .......... 61% 96.7K 45s
  7900K .......... .......... .......... .......... .......... 61%  119K 45s
  7950K .......... .......... .......... .......... .......... 62%  115K 44s
  8000K .......... .......... .......... .......... .......... 62%  110K 44s
  8050K .......... .......... .......... .......... .......... 62% 88.5K 43s
  8100K .......... .......... .......... .......... .......... 63%  139K 43s
  8150K .......... .......... .......... .......... .......... 63%  110K 42s
  8200K .......... .......... .......... .......... .......... 64%  107K 42s
  8250K .......... .......... .......... .......... .......... 64%  104K 41s
  8300K .......... .......... .......... .......... .......... 64%  119K 41s
  8350K .......... .......... .......... .......... .......... 65%  113K 40s
  8400K .......... .......... .......... .......... .......... 65%  104K 40s
  8450K .......... .......... .......... .......... .......... 65%  116K 40s
  8500K .......... .......... .......... .......... .......... 66%  113K 39s
  8550K .......... .......... .......... .......... .......... 66%  116K 39s
  8600K .......... .......... .......... .......... .......... 67%  113K 38s
  8650K .......... .......... .......... .......... .......... 67%  104K 38s
  8700K .......... .......... .......... .......... .......... 67%  116K 37s
  8750K .......... .......... .......... .......... .......... 68% 85.0K 37s
  8800K .......... .......... .......... .......... .......... 68%  126K 36s
  8850K .......... .......... .......... .......... .......... 69% 99.3K 36s
  8900K .......... .......... .......... .......... .......... 69%  102K 36s
  8950K .......... .......... .......... .......... .......... 69%  130K 35s
  9000K .......... .......... .......... .......... .......... 70%  104K 35s
  9050K .......... .......... .......... .......... .......... 70%  104K 34s
  9100K .......... .......... .......... .......... .......... 71%  122K 34s
  9150K .......... .......... .......... .......... .......... 71%  113K 33s
  9200K .......... .......... .......... .......... .......... 71%  116K 33s
  9250K .......... .......... .......... .......... .......... 72%  112K 32s
  9300K .......... .......... .......... .......... .......... 72%  104K 32s
  9350K .......... .......... .......... .......... .......... 72%  110K 31s
  9400K .......... .......... .......... .......... .......... 73%  116K 31s
  9450K .......... .......... .......... .......... .......... 73%  113K 31s
  9500K .......... .......... .......... .......... .......... 74%  113K 30s
  9550K .......... .......... .......... .......... .......... 74% 99.3K 30s
  9600K .......... .......... .......... .......... .......... 74%  126K 29s
  9650K .......... .......... .......... .......... .......... 75%  110K 29s
  9700K .......... .......... .......... .......... .......... 75%  110K 28s
  9750K .......... .......... .......... .......... .......... 76%  116K 28s
  9800K .......... .......... .......... .......... .......... 76%  110K 27s
  9850K .......... .......... .......... .......... .......... 76%  113K 27s
  9900K .......... .......... .......... .......... .......... 77%  110K 26s
  9950K .......... .......... .......... .......... .......... 77%  107K 26s
 10000K .......... .......... .......... .......... .......... 78% 64.1K 26s
 10050K .......... .......... .......... .......... .......... 78%  116K 25s
 10100K .......... .......... .......... .......... .......... 78%  113K 25s
 10150K .......... .......... .......... .......... .......... 79%  110K 24s
 10200K .......... .......... .......... .......... .......... 79%  122K 24s
 10250K .......... .......... .......... .......... .......... 79%  113K 23s
 10300K .......... .......... .......... .......... .......... 80%  113K 23s
 10350K .......... .......... .......... .......... .......... 80%  119K 22s
 10400K .......... .......... .......... .......... .......... 81%  104K 22s
 10450K .......... .......... .......... .......... .......... 81% 97.1K 22s
 10500K .......... .......... .......... .......... .......... 81%  149K 21s
 10550K .......... .......... .......... .......... .......... 82%  116K 21s
 10600K .......... .......... .......... .......... .......... 82%  119K 20s
 10650K .......... .......... .......... .......... .......... 83%  116K 20s
 10700K .......... .......... .......... .......... .......... 83%  104K 19s
 10750K .......... .......... .......... .......... .......... 83%  127K 19s
 10800K .......... .......... .......... .......... .......... 84%  104K 18s
 10850K .......... .......... .......... .......... .......... 84%  110K 18s
 10900K .......... .......... .......... .......... .......... 84%  119K 17s
 10950K .......... .......... .......... .......... .......... 85%  110K 17s
 11000K .......... .......... .......... .......... .......... 85% 99.2K 17s
 11050K .......... .......... .......... .......... .......... 86%  130K 16s
 11100K .......... .......... .......... .......... .......... 86%  104K 16s
 11150K .......... .......... .......... .......... .......... 86%  116K 15s
 11200K .......... .......... .......... .......... .......... 87% 94.7K 15s
 11250K .......... .......... .......... .......... .......... 87%  110K 14s
 11300K .......... .......... .......... .......... .......... 88%  116K 14s
 11350K .......... .......... .......... .......... .......... 88% 97.1K 13s
 11400K .......... .......... .......... .......... .......... 88% 99.2K 13s
 11450K .......... .......... .......... .......... .......... 89%  134K 13s
 11500K .......... .......... .......... .......... .......... 89%  104K 12s
 11550K .......... .......... .......... .......... .......... 90%  119K 12s
 11600K .......... .......... .......... .......... .......... 90%  107K 11s
 11650K .......... .......... .......... .......... .......... 90% 96.9K 11s
 11700K .......... .......... .......... .......... .......... 91%  107K 10s
 11750K .......... .......... .......... .......... .......... 91%  104K 10s
 11800K .......... .......... .......... .......... .......... 91%  110K 9s
 11850K .......... .......... .......... .......... .......... 92% 99.0K 9s
 11900K .......... .......... .......... .......... .......... 92%  130K 8s
 11950K .......... .......... .......... .......... .......... 93%  102K 8s
 12000K .......... .......... .......... .......... .......... 93%  110K 8s
 12050K .......... .......... .......... .......... .......... 93% 99.2K 7s
 12100K .......... .......... .......... .......... .......... 94% 38.6K 7s
 12150K .......... .......... .......... .......... .......... 94%  134K 6s
 12200K .......... .......... .......... .......... .......... 95% 94.8K 6s
 12250K .......... .......... .......... .......... .......... 95%  110K 5s
 12300K .......... .......... .......... .......... .......... 95%  119K 5s
 12350K .......... .......... .......... .......... .......... 96%  113K 4s
 12400K .......... .......... .......... .......... .......... 96%  110K 4s
 12450K .......... .......... .......... .......... .......... 97%  116K 4s
 12500K .......... .......... .......... .......... .......... 97%  110K 3s
 12550K .......... .......... .......... .......... .......... 97% 96.9K 3s
 12600K .......... .......... .......... .......... .......... 98%  134K 2s
 12650K .......... .......... .......... .......... .......... 98%  110K 2s
 12700K .......... .......... .......... .......... .......... 98%  107K 1s
 12750K .......... .......... .......... .......... .......... 99%  116K 1s
 12800K .......... .......... .......... .......... .......... 99%  107K 0s
 12850K .......... .......... .......... ....                 100%  124K=1m58s

2016-05-25 00:18:24 (110 KB/s) - ‘index.html.7’ saved [13193358/13193358]

